2017/09/27 15:08:10.425 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 143")
2017/09/27 15:08:10.625 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 144")
2017/09/27 15:08:10.825 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 145")
2017/09/27 15:08:11.025 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 146")
2017/09/27 15:08:11.233 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 147")
2017/09/27 15:08:11.426 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 148")
2017/09/27 15:08:11.627 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 149")
2017/09/27 15:08:11.827 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 150")
2017/09/27 15:08:12.027 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 151")
2017/09/27 15:08:12.227 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 152")
2017/09/27 15:08:12.428 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 153")
2017/09/27 15:08:12.628 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 154")
2017/09/27 15:08:12.827 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 155")
2017/09/27 15:08:13.026 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 156")
2017/09/27 15:08:13.226 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 157")
2017/09/27 15:08:13.426 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 158")
2017/09/27 15:08:13.626 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 159")
2017/09/27 15:08:13.816 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 160")
2017/09/27 15:08:14.028 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 161")
2017/09/27 15:08:14.229 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 162")
2017/09/27 15:08:14.437 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 163")
2017/09/27 15:08:14.637 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 164")
2017/09/27 15:08:14.829 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 165")
2017/09/27 15:08:15.030 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 166")
2017/09/27 15:08:15.230 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 167")
2017/09/27 15:08:15.431 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 168")
2017/09/27 15:08:15.630 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 169")
2017/09/27 15:08:15.830 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 170")
2017/09/27 15:08:16.029 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 171")
2017/09/27 15:08:16.238 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 172")
2017/09/27 15:08:16.420 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 173")
2017/09/27 15:08:16.630 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 174")
2017/09/27 15:08:16.838 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 175")
2017/09/27 15:08:17.039 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 176")
2017/09/27 15:08:17.232 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 177")
2017/09/27 15:08:17.432 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 178")
2017/09/27 15:08:17.631 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 179")
2017/09/27 15:08:17.831 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 180")
2017/09/27 15:08:18.031 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 181")
2017/09/27 15:08:18.231 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 182")
2017/09/27 15:08:18.421 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 183")
2017/09/27 15:08:18.620 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 184")
2017/09/27 15:08:18.822 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 185")
2017/09/27 15:08:19.021 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 186")
2017/09/27 15:08:19.223 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 187")
2017/09/27 15:08:19.424 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 188")
2017/09/27 15:08:19.624 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 189")
2017/09/27 15:08:19.824 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 190")
2017/09/27 15:08:20.028 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 191")
2017/09/27 15:08:20.228 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 192")
